BAIRRO,VALOR,AREA,QUARTOS
SOBRADINHO,1950000.0,400.0,4.0
AGUAS CLARAS,1278000.0,105.0,3.0
SOBRADINHO,980000.0,545.0,4.0
NOROESTE,3383462.0,215.0,4.0
JARDIM BOTANICO,2380000.0,320.0,3.0
LAGO NORTE,2290000.0,300.0,4.0
ASA NORTE,559000.0,31.0,1.0
ASA SUL,2499000.0,162.0,3.0
NOROESTE,3200000.0,225.0,3.0
GUARA,1450000.0,200.0,4.0
SOBRADINHO,1500000.0,428.0,4.0
ASA NORTE,1550000.0,101.0,3.0
SOBRADINHO,1095000.0,557.0,3.0
SOBRADINHO,2150000.0,640.0,5.0
NOROESTE,8000000.0,462.0,4.0
LAGO NORTE,590000.0,58.0,2.0
SOBRADINHO,1699000.0,219.0,4.0
PARK WAY,2790000.0,680.0,4.0
SOBRADINHO,750000.0,230.0,3.0
SOBRADINHO,790000.0,280.0,3.0
PARK WAY,6380000.0,1200.0,5.0
NOROESTE,5700000.0,303.0,4.0
ARNIQUEIRA,1187000.0,300.0,3.0
ASA NORTE,635000.0,45.0,2.0
LAGO NORTE,3729000.0,505.0,4.0
LAGO SUL,7000000.0,729.0,4.0
NOROESTE,1290000.0,70.0,2.0
PARK WAY,3500000.0,620.0,5.0
SOBRADINHO,1200000.0,346.0,3.0
JARDIM BOTANICO,2600000.0,533.0,4.0
NOROESTE,455000.0,30.0,1.0
SOBRADINHO,2250000.0,306.0,4.0
SOBRADINHO,507709.0,59.0,2.0
ASA NORTE,1590000.0,105.0,3.0
PARK WAY,5900000.0,1000.0,5.0
SOBRADINHO,780000.0,410.0,4.0
LAGO SUL,15000000.0,813.0,4.0
SOBRADINHO,2800000.0,400.0,5.0
NOROESTE,3490000.0,193.0,4.0
LAGO SUL,4350000.0,703.0,6.0
AGUAS CLARAS,525000.0,53.0,2.0
ASA SUL,8800000.0,470.0,4.0
ASA NORTE,1245000.0,80.0,2.0
NOROESTE,4800000.0,232.0,4.0
AGUAS CLARAS,780000.0,71.0,2.0
SUDOESTE,1790000.0,120.0,3.0
LAGO SUL,8800000.0,750.0,5.0
TAGUATINGA,630000.0,90.0,3.0
AGUAS CLARAS,890000.0,94.0,3.0
PARK WAY,3900000.0,637.0,4.0
ASA NORTE,1990000.0,128.0,4.0
PARK WAY,3500000.0,651.0,5.0
NOROESTE,1740000.0,108.0,3.0
ASA NORTE,1720000.0,102.0,3.0
AGUAS CLARAS,2150000.0,203.0,4.0
PARK WAY,3190000.0,365.0,4.0
